group	x	y	showSelected1
1	17680	24	144
1	17680	24	1458
1	17680	24	2889
1	17680	24	337
1	17680	24	780
2	17680	74	337
5	17730	74	337
5	17730	74	186
5	17730	74	1149
5	17730	74	2173
5	17730	74	80
4	17730	124	1149
7	17780	124	1149
7	17780	124	124
7	17780	124	2177
7	17780	124	1574
7	17780	124	257
8	17780	174	124
12	17830	174	124
12	17830	174	442
12	17830	174	87
12	17830	174	257
12	17830	174	1457
12	17830	174	1172
13	17830	224	257
18	17880	224	257
18	17880	224	716
18	17880	224	344
18	17880	224	495
18	17880	224	2318
19	17880	274	257
25	17930	274	257
25	17930	274	270
25	17930	274	772
25	17930	274	96
25	17930	274	343
25	17930	274	922
25	17930	274	595
25	17930	274	3130
25	17930	274	2272
25	17930	274	753
25	17930	274	2924
25	17930	274	13
26	17930	324	343
33	17980	324	343
33	17980	324	375
33	17980	324	13
33	17980	324	1446
33	17980	324	2495
33	17980	324	2799
33	17980	324	350
33	17980	324	2574
33	17980	324	1013
33	17980	324	1071
33	17980	324	1788
33	17980	324	1807
33	17980	324	3167
33	17980	324	759
33	17980	324	235
34	17980	374	13
42	18030	374	13
42	18030	374	1230
42	18030	374	33
42	18030	374	2928
42	18030	374	223
42	18030	374	227
42	18030	374	2561
42	18030	374	1363
42	18030	374	39
42	18030	374	804
42	18030	374	1416
42	18030	374	1568
42	18030	374	968
43	18030	424	223
52	18080	424	2561
52	18080	424	223
52	18080	424	969
52	18080	424	10
52	18080	424	294
52	18080	424	930
52	18080	424	1862
52	18080	424	734
52	18080	424	2262
52	18080	424	1939
52	18080	424	2926
52	18080	424	1860
52	18080	424	1171
52	18080	424	1120
52	18080	424	852
52	18080	424	1368
52	18080	424	3120
52	18080	424	1477
52	18080	424	127
52	18080	424	1608
52	18080	424	1612
52	18080	424	2191
52	18080	424	2800
52	18080	424	1874
52	18080	424	2090
52	18080	424	238
52	18080	424	78
52	18080	424	1972
52	18080	424	247
52	18080	424	2975
52	18080	424	2206
53	18080	474	10
63	18130	474	10
63	18130	474	398
63	18130	474	410
63	18130	474	2859
63	18130	474	1916
63	18130	474	88
63	18130	474	78
63	18130	474	117
63	18130	474	988
63	18130	474	587
63	18130	474	1729
63	18130	474	2925
63	18130	474	1713
63	18130	474	1722
63	18130	474	994
63	18130	474	2707
63	18130	474	1719
63	18130	474	2189
63	18130	474	2515
63	18130	474	2614
63	18130	474	2598
63	18130	474	2481
65	18130	524	88
65	18130	524	410
76	18180	524	410
76	18180	524	88
76	18180	524	18
76	18180	524	1278
76	18180	524	3126
76	18180	524	423
76	18180	524	1546
76	18180	524	972
76	18180	524	63
76	18180	524	83
76	18180	524	2905
76	18180	524	3077
76	18180	524	27
76	18180	524	1893
76	18180	524	2142
76	18180	524	2487
76	18180	524	1738
76	18180	524	874
76	18180	524	1638
76	18180	524	1732
76	18180	524	2497
76	18180	524	1012
76	18180	524	3227
76	18180	524	2761
76	18180	524	3155
76	18180	524	61
76	18180	524	2084
76	18180	524	838
76	18180	524	1921
76	18180	524	2484
76	18180	524	1074
76	18180	524	3089
77	18180	574	83
89	18230	574	83
89	18230	574	27
89	18230	574	36
89	18230	574	56
89	18230	574	2466
