group	fill	clickSelects
1	#FFFFFF	578
2	#FFFFFF	578
3	#FFFFFF	139
4	#FFFFFF	578
5	#FFFFFF	578
6	#FFFFFF	29
7	#FFFFFF	29
8	#FFFFFF	1298
9	#FFFFFF	1298
10	#FFFFFF	1298
11	#FFFFFF	29
12	#FFFFFF	29
13	#FFFFFF	29
15	#FFFFFF	29
17	#FFFFFF	29
18	#FFFFFF	29
19	#FFFFFF	2146
20	#FFFFFF	2146
21	#FFFFFF	29
22	#FFFFFF	29
23	#FFFFFF	29
24	#FFFFFF	29
25	#FFFFFF	139
26	#FFFFFF	29
29	#FFFFFF	29
30	#FFFFFF	29
31	#FFFFFF	203
33	#FFFFFF	203
34	#FFFFFF	203
35	#FFFFFF	56
36	#FFFFFF	139
37	#FFFFFF	56
38	#FFFFFF	56
39	#FFFFFF	56
40	#FFFFFF	56
41	#FFFFFF	56
42	#FFFFFF	402
43	#FFFFFF	402
46	#FFFFFF	578
47	#FFFFFF	578
49	#FFFFFF	578
52	#FFFFFF	139
54	#FFFFFF	578
55	#FFFFFF	578
56	#FFFFFF	29
57	#FFFFFF	29
58	#FFFFFF	1298
59	#FFFFFF	29
60	#FFFFFF	1298
61	#FFFFFF	1298
62	#FFFFFF	29
63	#FFFFFF	29
65	#FFFFFF	29
66	#FFFFFF	29
67	#FFFFFF	29
69	#FFFFFF	29
70	#FFFFFF	29
71	#FFFFFF	29
72	#FFFFFF	29
73	#FFFFFF	29
74	#FFFFFF	29
75	#FFFFFF	139
76	#FFFFFF	29
77	#FFFFFF	29
78	#FFFFFF	29
79	#FFFFFF	29
80	#FFFFFF	29
81	#FFFFFF	29
83	#FFFFFF	56
84	#FFFFFF	203
85	#FFFFFF	203
87	#FFFFFF	56
88	#FFFFFF	56
89	#FFFFFF	56
90	#FFFFFF	2685
91	#FFFFFF	56
92	#FFFFFF	402
93	#FFFFFF	402
94	#FFFFFF	402
95	#FFFFFF	56
97	#FFFFFF	139
98	#FFFFFF	29
100	#FFFFFF	29
101	#FFFFFF	29
102	#FFFFFF	139
104	#FFFFFF	578
106	#FFFFFF	29
107	#FFFFFF	29
108	#FFFFFF	29
109	#FFFFFF	29
111	#FFFFFF	1298
112	#FFFFFF	29
113	#FFFFFF	29
114	#FFFFFF	29
116	#FFFFFF	29
117	#FFFFFF	29
118	#FFFFFF	29
119	#FFFFFF	29
120	#FFFFFF	29
121	#FFFFFF	29
122	#FFFFFF	29
123	#FFFFFF	29
124	#FFFFFF	29
125	#FFFFFF	29
127	#FFFFFF	29
128	#FFFFFF	29
129	#FFFFFF	29
130	#FFFFFF	29
134	#FFFFFF	56
135	#FFFFFF	203
136	#FFFFFF	56
139	#FFFFFF	56
140	#FFFFFF	2685
141	#FFFFFF	56
142	#FFFFFF	56
143	#FFFFFF	402
144	#FFFFFF	402
146	#FFFFFF	56
147	#FFFFFF	578
149	#FFFFFF	29
151	#FFFFFF	29
153	#FFFFFF	139
154	#FFFFFF	139
157	#FFFFFF	29
158	#FFFFFF	29
160	#FFFFFF	796
161	#FFFFFF	29
162	#FFFFFF	29
163	#FFFFFF	796
164	#FFFFFF	796
165	#FFFFFF	139
166	#FFFFFF	796
167	#FFFFFF	796
168	#FFFFFF	29
169	#FFFFFF	29
171	#FFFFFF	2331
173	#FFFFFF	29
174	#FFFFFF	29
175	#FFFFFF	56
176	#FFFFFF	578
177	#FFFFFF	56
178	#FFFFFF	56
180	#FFFFFF	203
182	#FFFFFF	203
184	#FFFFFF	56
185	#FFFFFF	203
186	#FFFFFF	56
187	#FFFFFF	578
188	#FFFFFF	203
189	#FFFFFF	203
191	#FFFFFF	56
192	#FFFFFF	56
193	#FFFFFF	56
194	#FFFFFF	56
195	#FFFFFF	402
196	#FFFFFF	402
198	#FFFFFF	578
199	#FFFFFF	578
200	#FFFFFF	578
201	#FFFFFF	29
202	#FFFFFF	29
203	#FFFFFF	578
204	#FFFFFF	139
206	#FFFFFF	1892
208	#FFFFFF	29
209	#FFFFFF	29
211	#FFFFFF	29
212	#FFFFFF	29
213	#FFFFFF	29
214	#FFFFFF	29
215	#FFFFFF	29
216	#FFFFFF	139
217	#FFFFFF	796
218	#FFFFFF	29
219	#FFFFFF	29
220	#FFFFFF	2331
221	#FFFFFF	2331
222	#FFFFFF	29
224	#FFFFFF	29
225	#FFFFFF	56
226	#FFFFFF	56
227	#FFFFFF	578
228	#FFFFFF	56
230	#FFFFFF	56
233	#FFFFFF	203
235	#FFFFFF	56
236	#FFFFFF	56
238	#FFFFFF	578
241	#FFFFFF	203
242	#FFFFFF	56
243	#FFFFFF	14
244	#FFFFFF	14
245	#FFFFFF	56
247	#FFFFFF	14
248	#FFFFFF	578
250	#FFFFFF	578
251	#FFFFFF	29
254	#FFFFFF	578
255	#FFFFFF	139
256	#FFFFFF	1892
258	#FFFFFF	1892
260	#FFFFFF	796
262	#FFFFFF	29
263	#FFFFFF	29
264	#FFFFFF	29
265	#FFFFFF	29
266	#FFFFFF	139
268	#FFFFFF	796
269	#FFFFFF	29
270	#FFFFFF	29
271	#FFFFFF	2331
275	#FFFFFF	29
276	#FFFFFF	29
277	#FFFFFF	578
278	#FFFFFF	29
279	#FFFFFF	56
