group	label	showSelected1
1	Cluster 4: 20/1198 pixels shown, logFC -4.2 to 4.6, log10(p) 0.0 to 3.3	4
1	Cluster 89: 853/17235 pixels shown, logFC -4.7 to 4.7, log10(p) 0.0 to 17.0	89
1	Cluster 104: 1/15351 pixels shown, logFC -4.7 to 4.6, log10(p) 0.0 to 4.0	104
1	Cluster 164: 286/1982 pixels shown, logFC -4.8 to 4.2, log10(p) 0.0 to 3.6	164
1	Cluster 205: 1564/7346 pixels shown, logFC -4.7 to 4.2, log10(p) 0.0 to 4.2	205
1	Cluster 286: 1033/1350 pixels shown, logFC -3.5 to 4.2, log10(p) 0.0 to 4.7	286
1	Cluster 299: 83/1625 pixels shown, logFC -4.6 to 4.4, log10(p) 0.0 to 2.6	299
1	Cluster 386: 220/1594 pixels shown, logFC -4.7 to 4.4, log10(p) 0.0 to 3.7	386
1	Cluster 454: 366/731 pixels shown, logFC -3.1 to 4.6, log10(p) 0.0 to 2.9	454
1	Cluster 491: 16/1006 pixels shown, logFC -3.1 to 3.9, log10(p) 0.0 to 3.4	491
1	Cluster 1254: 7/57 pixels shown, logFC -4.2 to 1.6, log10(p) 0.0 to 2.0	1254
1	Cluster 1614: 107/334 pixels shown, logFC -4.4 to 2.6, log10(p) 0.0 to 3.5	1614
